AZTE3
BRAV3
CSAN3
RPMG3
PETR3
PETR4
RECV3
PRIO3
RAIZ4
UGPA3
VBBR3
LUPA3
OPCT3
OSXB3
AURA3
BRAP3
BRAP4
CBAV3
CMIN3
LTEL3
LTLA3
VALE3
FESA3
GGBR3
GGBR4
GOAU3
GOAU4
CSNA3
USIM3
USIM5
MGEL3
PATI3
TKNO3
PMAM3
BRKM3
DEXP3
FHER3
NUTR3
VITT3
CRPG3
UNIP3
DXCO3
EUCA3
KLBN3
KLBN4
KLBN11
MSPA3
NEMO3
SUZB3
RANI3
SNSY3
ETER3
HAGA3
PTBL3
AZEV3
SOND3
EMBR3
FRAS3
POMO3
RAPT3
RCSL3
RSUL3
TUPY3
MWET3
SHUL3
WEGE3
EALT3
AERI3
ARML3
BDLL3
INEP3
KEPL3
FRIO3
MILS3
NORD3
PTCA3
ROMI3
MTSA3
TASA3
TASA4
AZUL4
GOLL4
VSPT3
MRSA3
RAIL3
HBSA3
LOGN3
LUXM3
JSLG3
TGMA3
CRTE3
ECOR3
MOTV3
TPIS3
AGRU3
HMOB3
IVPR3
PSVM3
PORT3
BBML3
CTAX3
DTCY3
ALPK3
GGPS3
PRNR3
SEQL3
VLID3
EPAR3
MMAQ3
RBNS3
WLMM3
WLMM4
TTEN3
AGXY3
APTI3
SOJA3
AGRO3
CTCA3
EGGY3
SLCE3
LAND3
JALL3
SMTO3
BAUH3
FICT3
JBSS3
MBRF3
BEEF3
MNPR3
CAML3
JOPA3
MDIA3
ODER3
ABEV3
NATU3
BOBR3
ASAI3
GMAT3
PCAR3
AZZA3
CEAB3
CGRA3
GUAR3
AMAR3
LREN3
VSTE3
ALLD3
BHIA3
MGLU3
AMER3
ESPA3
SBFG3
LLBI3
PETZ3
LJQQ3
AVLL3
CALI3
CURY3
CYRE3
DIRR3
EVEN3
EZTC3
FIEI3
GFSA3
HBOR3
INNC3
JHSF3
JFEN3
KLAS3
LAVV3
MELK3
MTRE3
MDNE3
MRVE3
PDGR3
PLPL3
CCTY3
RDNI3
RSID3
TCSA3
TEGA3
TEND3
TRIS3
VIVR3
CEDO3
CTNM3
DOHL3
CATA3
CTKA3
PTNT3
CTSA3
SGPS3
TXRX3
TFCO3
ALPA3
CAMB3
GRND3
VULC3
MNDL3
TECN3
VIVA3
WHRL3
WHRL4
TOKY3
UCAS3
WEST3
HETA3
AMOB3
MYPK3
LEVE3
PLAS3
HOOT3
MEAL3
ZAMP3
BMKS3
ESTR3
RVEE3
AHEB3
SHOW3
CVCB3
SMFT3
ANIM3
ATED3
BIED3
COGN3
CSED3
SALT3
OBTC3
SEER3
VTRU3
YDUQ3
RENT3
MOVI3
VAMO3
DOTZ3
BIOM3
OFSA3
AALR3
DASA3
FLRY3
HAPV3
MATD3
ODPV3
ONCO3
QUAL3
RDOR3
BALM3
LMED3
BLAU3
DMVF3
PNVL3
EUFA3
HYPE3
PGMN3
PFRM3
RADL3
VVEO3
INTB3
MLAS3
POSI3
BMOB3
BRQB3
ENJU3
IFCM3
LWSA3
CASH3
NGRD3
PDTC3
QUSW3
REAG3
TRAD3
TOTS3
WDCN3
BRST3
DESK3
OIBR3
OIBR4
TELB3
VIVT3
TIMS3
FIQE3
AESO3
AFLT3
ALUP11
CBEE3
AURE3
CEBR3
CEED3
CLSC3
GPAR3
CMIG3
CMIG4
CEEB3
COCE3
COMR3
CPLE3
CPLE5
CPLE6
CPFE3
EKTR3
ELET3
ELET5
ELET6
EMAE3
ENGI3
ENMT3
ENEV3
EGIE3
EQPA3
EQMA3
EQTL3
GEPA3
ISAE3
LIGH3
LIGT3
NEOE3
PRMN3
REDE3
RNEW3
SRNA3
TAEE11
AMBP3
CASN3
CSMG3
IGSN3
ORVR3
SBSP3
SAPR3
CEGR3
CGAS3
PASS3
ABCB3
RPAD3
BAZA3
BMGB3
BPAN3
BGIP3
BGIP4
BEES3
BPAR3
BRSR3
BRSR5
BRSR6
BRBI3
BBDC3
BBDC4
BBAS3
BSLI3
BPAC11
INBR3
ITUB4
BMIN3
BMEB3
BNBR3
PINE3
SANB3
SANB4
SANB5
SANB6
MERC3
BSCS3
RBRA3
PLSC3
G2DI3
PPLA3
B3SA3
CSUD3
BBSE3
CXSE3
PSSA3
IRBR3
WIZC3
ALOS3
GSHP3
HBTS5
HBTS6
HBRE3
IGTI3
LOGG3
MNZC3
MULT3
PEAB3
SCAR3
SYNE3
LPSB3
NEXP3
ADMF3
ITSA3
ITSA4
MOAR3
SIMH3
CTBA3
MCRJ3
PMSP3
QVQP3
BETP3
MAPT3
OPGM3
FIGE3
PPAR3
PRPT3
OPSE3
OPTS3
